epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.42975,2.35529,3.7514,1.17488,0,0,0,0,2.69756,3.73526,1.48167,0,0,0
2,6.50025,2.3967,3.7497,1.17403,0,0,0,0,2.66117,3.72956,1.45822,1.967e-05,1.967e-05,1.967e-05
3,9.64416,2.41855,3.69259,1.27413,0.00417,0.13889,0.00058,0.00011,2.57711,3.67961,1.39288,3.868e-05,3.868e-05,3.868e-05
4,12.6574,2.29,3.52334,1.26971,0.02,0.66667,0.01654,0.00433,2.36002,3.53125,1.24486,5.703e-05,5.703e-05,5.703e-05
5,15.4609,2.06559,3.38359,1.15569,0.0275,0.91667,0.04886,0.02012,2.00572,3.37807,1.08725,7.472e-05,7.472e-05,7.472e-05
6,18.2552,1.75958,3.33551,1.04532,0.03,1,0.07897,0.04039,1.68479,3.29326,0.99863,9.175e-05,9.175e-05,9.175e-05
7,21.607,1.31525,3.1444,0.93099,0.03,1,0.08428,0.0499,1.42337,3.25886,0.95022,0.00010812,0.00010812,0.00010812
8,25.4382,1.21043,3.02189,0.87808,0.03,1,0.08389,0.05257,1.28462,3.24102,0.92792,0.00012383,0.00012383,0.00012383
9,29.1594,1.29694,2.73434,0.89703,0.03,1,0.07996,0.05135,1.21051,3.23004,0.91581,0.00013888,0.00013888,0.00013888
10,32.7612,1.33876,2.34411,0.87816,0.03,1,0.07638,0.04553,1.22775,3.22686,0.92023,0.00015327,0.00015327,0.00015327
11,36.2444,1.19522,1.96751,0.8729,0.03,1,0.07478,0.04261,1.22635,3.20766,0.91803,0.000167,0.000167,0.000167
12,40.0932,1.11745,1.58878,0.88793,0.03,1,0.0731,0.03965,1.22553,3.18721,0.91992,0.00018007,0.00018007,0.00018007
13,43.7635,1.23295,1.19944,0.92015,0.03,1,0.07621,0.04448,1.13952,3.1218,0.90431,0.00019248,0.00019248,0.00019248
14,47.7899,1.25822,1.16715,0.87311,0.03,1,0.07541,0.04556,1.11307,3.05604,0.90195,0.00020423,0.00020423,0.00020423
15,51.5463,1.10288,1.02188,0.85374,0.03,1,0.29231,0.18291,1.13076,2.96693,0.90573,0.00021532,0.00021532,0.00021532
16,57.0969,1.07951,0.90182,0.94453,0.03,1,0.91964,0.56921,1.09232,2.87418,0.89557,0.00022575,0.00022575,0.00022575
17,61.6049,1.14547,1.07979,0.92552,0.03,1,0.97939,0.63699,1.06925,2.79822,0.88871,0.00023552,0.00023552,0.00023552
